"total_cost","Nclaims","age","gender","agelic","agecar","parking","tkm","nightkm","urbankm","speedkm","cost"
17.75,1,23.44695414,1,3.715263518,14.51608487,0,3719.497,297.37,71.40798877,4.682541752,17.75
26.07,1,23.96988364,1,2.576317591,15.01437372,1,2345.581,229.526,38.67498074,3.426826871,26.07
32.5,1,25.16358658,0,6.321697467,6.529774127,1,5589.37,156.498,31.8934871,8.889570739,32.5
33.44,1,30.14647502,0,9.262149213,7.942505133,0,5105.662,281.94,36.8086254,7.265424151,33.44
45.84,1,30.68035592,0,7.403148528,4.788501027,1,4374.51,252.062,20.94515729,2.033324875,45.84
47.78,1,27.84941821,0,6.628336756,9.448323066,1,6196.601,239.97,41.24504708,0.891036877,47.78
82.36,1,32.32032854,1,11.62217659,5.615331964,1,13413.543,1575.341,17.50538243,3.57744408,82.36
101.54,1,26.83641342,1,3.279945243,3.279945243,1,2943.283,249.06,40.19148006,2.285678951,101.54
103.67,1,30.7761807,0,6.247775496,6.776180698,1,11574.112,1362.036,11.52422752,11.22981184,103.67
105.59,1,25.82340862,0,7.290896646,5.615331964,1,5644.618,240.59,43.78129751,12.87513167,105.59
110.78,1,21.9301848,0,3.849418207,5.448323066,1,6790.302,44.967,22.38483649,5.047006746,110.78
118.45,1,32.00273785,1,11.40588638,9.448323066,1,10284.904,1836.834,8.263314854,4.351183054,118.45
120,1,22.75701574,0,4.511978097,13.86173854,1,5245.702,155.581,37.86280654,7.111917528,120
124.08,1,21.49486653,0,3.468856947,2.861054073,1,21247.586,1804.326,12.79406517,37.95054177,124.08
130.35,1,23.15126626,0,3.23613963,15.01437372,0,13762.598,1707.229,19.78901077,2.538118166,130.35
132.17,1,25.97125257,1,6.620123203,4.777549624,1,8241.908,1185.962,17.78502017,3.504382723,132.17
139.12,1,30.2696783,0,2.631074606,4.109514031,1,9886.874,929.632,13.8260789,7.083512949,139.12
140.76,1,22.02327173,0,3.351129363,4.109514031,1,4593.478,522.687,26.18553958,5.35328568,140.76
145.32,1,26.89664613,1,2.151950719,15.01437372,0,7518.988,632.005,39.47674873,1.863801352,145.32
148.35,1,24.72826831,0,6.236824093,6.529774127,0,9661.76,45.269,21.4283526,7.465234077,148.35
149.58,1,27.07734428,1,4.396988364,7.942505133,1,14579.437,458.506,34.78430614,6.830078555,149.58
149.95,1,24.03832991,0,5.771389459,3.613963039,1,3588.759,131.989,34.46294388,11.32015273,149.95
152.76,1,26.78439425,0,6.028747433,7.110198494,1,7230.005,113.384,35.70632385,6.240120166,152.76
157.31,1,33.05954825,1,9.965776865,8.528405202,1,8583.89,71.684,20.34786093,5.533819748,157.31
158.44,1,25.11704312,0,5.864476386,13.87268994,1,9603.992,1384.883,14.96172633,8.518509803,158.44
161.21,1,25.10609172,0,6.247775496,14.28062971,0,3971.659,358.099,34.78229123,1.699743105,161.21
163.63,1,32.15058179,0,12.09308693,7.225188227,1,5628.612,38.332,19.78809341,0.591549036,163.63
165,1,22.81998631,0,3.466119097,4.528405202,0,4984.179,243.849,39.40851643,1.31825121,165
168.15,1,26.72416153,0,4.963723477,7.110198494,1,3848.723,88.513,49.56501156,3.894616474,168.15
171.61,1,21.79603012,1,3.509924709,7.028062971,1,6873.32,489.699,26.93018803,16.0688721,171.61
172.1,1,24.22724162,0,5.347022587,6.943189596,1,6020.374,93.516,24.65192362,1.982135994,172.1
174.2,1,26.72416153,1,6.970568104,7.110198494,1,7583.5,418.121,37.03261027,3.00739764,174.2
174.33,1,22.9431896,0,3.531827515,8.361396304,0,11602.056,428.776,27.81688004,1.65663741,174.33
352.52,2,25.62354552,0,6.069815195,6.691307324,1,5965.72,114.032,44.5290426,0.824141931,176.26
178.35,1,23.27994524,0,3.967145791,4.692676249,1,17074.707,549.866,24.07673526,1.058764874,178.35
180.78,1,29.34428474,1,4.544832307,7.942505133,1,8618.694,582.513,26.9611498,4.35161058,180.78
183.34,1,29.50308008,1,8.38329911,7.613963039,1,14565.147,887.762,13.66455828,3.623629751,183.34
184.25,1,30.0752909,0,2.184804928,18.82546201,0,11197.639,1114.586,19.58023473,0.980010161,184.25
185.45,1,28.63518138,0,6.729637235,6.195756331,1,5928.452,35.971,19.21339668,2.564817932,185.45
374.53,2,25.77686516,1,6.962354552,7.362080767,1,22397.265,1300.158,11.09068897,14.15736252,187.265
188.12,1,24.67351129,0,5.776865161,8.862422998,1,9535.969,434.649,14.04656412,18.82423275,188.12
190.96,1,27.45242984,0,5.691991786,5.776865161,1,15125.182,1241.64,5.000468755,1.613752482,190.96
191.49,1,30.46954141,1,10.94592745,13.41820671,1,8128.583,693.328,21.89889677,11.85185659,191.49
194.83,1,20.89527721,0,2.861054073,10.17385352,1,13073.498,752.95,25.86546462,17.8267056,194.83
394.93,2,24.93086927,1,6.929500342,5.615331964,1,8224.55,1241.078,24.22695467,5.755548936,197.465
200.46,1,26.11909651,1,6.234086242,7.613963039,1,8322.73,1353.098,37.11736413,2.105270746,200.46
201.43,1,29.5633128,1,8.76659822,10.63381246,0,8040.978,231.952,22.75813962,3.038958694,201.43
